Date,GOOG_Adjusted_Close,GOOG_Cumulative_Return,GOOG_Value,CELG_Adjusted_Close,CELG_Cumulative_Return,CELG_Value,NVDA_Adjusted_Close,NVDA_Cumulative_Return,NVDA_Value,FB_Adjusted_Close,FB_Cumulative_Return,FB_Value,SPY_Adjusted_Close,SPY_Cumulative_Return,SPY_Value,Portfolio_Cumulative_Return,Portfolio_Value
2017-03-07,831.91,1.07086217,0.00000,122.08,1.17350767,1.37656,98.74,1.46629051,0.43000,137.30,1.06649058,0.00000,237.00,1.09834091,1.09834,1.07086217,1.07086217
2017-03-08,835.37,1.07531603,0.00000,123.04,1.18273577,1.38486,98.56,1.46361751,0.42844,137.72,1.06975295,0.00000,236.56,1.09630178,1.09630,1.07531603,1.07531603
2017-03-09,838.68,1.07957677,0.00000,125.13,1.20282610,1.40810,98.54,1.46332056,0.42826,138.24,1.07379214,0.00000,236.86,1.09769210,1.09769,1.07957677,1.07957677
2017-03-10,843.25,1.08545943,0.00000,124.00,1.19196387,1.40359,99.12,1.47193359,0.43332,138.79,1.07806422,0.00000,237.69,1.10153862,1.10154,1.08545943,1.08545943
2017-03-13,845.54,1.08840717,0.00000,124.43,1.19609730,1.44725,101.85,1.51247407,0.45752,139.60,1.08435607,0.00000,237.81,1.10209472,1.10209,1.08840717,1.08840717
2017-03-14,845.62,1.08851017,0.00000,124.68,1.19850045,1.44916,101.78,1.51143458,0.45689,139.32,1.08218115,0.00000,236.90,1.09787745,1.09788,1.08851017,1.08851017
2017-03-15,847.20,1.09054402,0.00000,126.88,1.21964817,1.48589,102.55,1.52286915,0.46383,139.72,1.08528814,0.00000,238.95,1.10737788,1.10738,1.09054402,1.09054402
2017-03-16,848.78,1.09257787,0.00000,126.62,1.21714894,1.50107,103.81,1.54158009,0.47529,139.99,1.08738542,0.00000,238.48,1.10519973,1.10520,1.09257787,1.09257787
2017-03-17,852.12,1.09687719,0.00000,125.77,1.20897816,1.52345,106.07,1.57514116,0.49621,139.84,1.08622021,0.00000,237.03,1.09847993,1.09848,1.09687719,1.09687719
2017-03-20,848.40,1.09208872,0.00000,126.51,1.21609155,1.58124,109.45,1.62533417,0.52834,139.94,1.08699702,0.00000,236.77,1.09727503,1.09728,1.09208872,1.09208872
2017-03-21,830.46,1.06899575,0.00000,123.82,1.19023360,1.49757,105.91,1.57276521,0.49472,138.51,1.07588930,0.00000,233.73,1.08318657,1.08319,1.06899575,1.06899575
2017-03-22,829.59,1.06787586,0.00000,123.37,1.18590795,1.52256,108.07,1.60484119,0.51510,139.59,1.08427832,0.00000,234.28,1.08573547,1.08574,1.06787586,1.06787586
2017-03-23,817.58,1.05241618,0.00000,123.22,1.18446605,1.50691,107.09,1.59028812,0.50580,139.53,1.08381228,0.00000,234.03,1.08457688,1.08458,1.05241618,1.05241618
2017-03-24,814.43,1.04836136,0.00000,123.38,1.18600402,1.51422,107.47,1.59593120,0.50940,140.34,1.09010401,0.00000,233.86,1.08378905,1.08379,1.04836136,1.04836136
2017-03-27,819.51,1.05490053,0.00000,124.86,1.20023072,1.54351,108.25,1.60751419,0.51682,140.32,1.08994874,0.00000,233.62,1.08267678,1.08268,1.05490053,1.05490053
2017-03-28,820.92,1.05671549,0.00000,124.43,1.19609730,1.53024,107.69,1.59919822,0.51149,141.76,1.10113398,0.00000,235.32,1.09055524,1.09056,1.05671549,1.05671549
2017-03-29,831.41,1.07021856,0.00000,124.09,1.19282897,1.52110,107.34,1.59400063,0.50817,142.65,1.10804713,0.00000,235.54,1.09157473,1.09157,1.07021856,1.07021856
2017-03-30,831.50,1.07033444,0.00000,124.34,1.19523212,1.55341,109.40,1.62459174,0.52786,142.41,1.10618299,0.00000,236.29,1.09505049,1.09505,1.07033444,1.07033444
2017-03-31,829.56,1.06783721,0.00000,124.43,1.19609730,1.54786,108.93,1.61761221,0.52333,142.05,1.10338665,0.00000,235.74,1.09250165,1.09250,1.06783721,1.06783721
2017-04-03,838.55,1.07940942,0.00000,124.05,1.19244453,1.53534,108.38,1.60944466,0.51806,142.28,1.10517316,0.00000,235.33,1.09060155,1.09060,1.07940942,1.07940942
2017-04-04,834.57,1.07428626,0.00000,124.77,1.19936555,1.43596,100.78,1.49658456,0.44795,141.73,1.10090096,0.00000,235.48,1.09129668,1.09130,1.07428626,1.07428626
2017-04-05,831.41,1.07021856,0.00000,124.18,1.19369414,1.41854,100.03,1.48544705,0.44131,141.85,1.10183315,0.00000,234.78,1.08805265,1.08805,1.07021856,1.07021856
2017-04-06,827.88,1.06567467,0.00000,124.30,1.19484768,1.43027,100.76,1.49628761,0.44778,141.17,1.09655113,0.00000,235.44,1.09111133,1.09111,1.06567467,1.06567467
2017-04-07,824.67,1.06154262,0.00000,125.58,1.20715181,1.43883,100.33,1.48990210,0.44396,140.78,1.09352177,0.00000,235.20,1.08999907,1.09000,1.06154262,1.06154262
2017-04-10,824.73,1.06161985,0.00000,125.92,1.21042007,1.40591,97.77,1.45188598,0.42159,141.04,1.09554130,0.00000,235.34,1.09064787,1.09065,1.06161985,1.06161985
2017-04-11,823.35,1.05984346,0.00000,125.06,1.20215322,1.40131,98.12,1.45708358,0.42462,139.92,1.08684164,0.00000,235.06,1.08935026,1.08935,1.05984346,1.05984346
