tax_id,GeneID,PubMed_ID
140,16190943,23749977
140,16190944,23749977
140,16190945,23749977
140,16190946,23749977
140,16190947,23749977
140,16190948,23749977
140,16190949,23749977
140,16190950,23749977
140,16190951,23749977
140,16190952,23749977
140,16190953,23749977
140,16190954,23749977
140,16190955,23749977
140,16190956,23749977
140,16190957,23749977
140,16190958,23749977
140,16190959,23749977
140,16190960,23749977
140,16190961,23749977
140,16190962,23749977
140,16190963,23749977
140,16190964,23749977
140,16190965,23749977
140,16190966,23749977
140,16190967,23749977
140,16190968,23749977
140,16190969,23749977
140,16190970,23749977
140,16190971,23749977
140,16190972,23749977
140,16190973,23749977
140,16190974,23749977
140,16190975,23749977
140,16190976,23749977
140,16190977,23749977
140,16190978,23749977
140,16190979,23749977
140,16190980,23749977
140,16190981,23749977
140,16190982,23749977
140,16190983,23749977
140,16190984,23749977
140,16190985,23749977
140,16190986,23749977
140,16190987,23749977
140,16190988,23749977
140,16190989,23749977
140,16190990,23749977
140,16190992,23749977
140,16190993,23749977
140,16190994,23749977
140,16190995,23749977
140,16190996,23749977
140,16190997,23749977
140,16190998,23749977
140,16190999,23749977
140,16191000,23749977
140,16191001,23749977
140,16191002,23749977
140,16191003,23749977
140,16191004,23749977
140,16191004,24866803
140,16191005,23749977
140,16191007,23749977
140,16191008,23749977
140,16191009,23749977
158,1119924,14711531
158,1119925,14711531
180,3337110,16269793
180,3337111,16269793
180,3337112,16269793
180,3337113,16269793
180,3337114,16269793
180,3337115,16269793
180,3337116,16269793
180,3337117,16269793
180,3337118,16269793
180,3337119,16269793
180,3337120,16269793
180,3337121,16269793
180,3337122,16269793
180,3337123,16269793
180,3337124,16269793
180,3337125,16269793
180,3337126,16269793
180,3337127,16269793
180,3337128,16269793
180,3337129,16269793
180,3337130,16269793
180,3337131,16269793
180,3337132,16269793
180,3337133,16269793
180,3337134,16269793
180,3337135,16269793
180,3337136,16269793
180,3337137,16269793
180,3337138,16269793
180,3337139,16269793
180,3337140,16269793
180,3337141,16269793
180,3337142,16269793
180,3345824,16269793
180,3345825,16269793
180,3345826,16269793
180,3345827,16269793
180,3345828,16269793
180,3345829,16269793
180,3345830,16269793
180,3345831,16269793
180,3345832,16269793
180,3345833,16269793
180,3345834,16269793
180,3345835,16269793
180,3345836,16269793
180,3345837,16269793
180,3345838,16269793
180,3345839,16269793
180,3345840,16269793
180,3345841,16269793
180,3345842,16269793
180,3345843,16269793
180,3345844,16269793
180,3345845,16269793
180,3345846,16269793
180,3345847,16269793
180,3345848,16269793
180,3345849,16269793
180,3345850,16269793
180,3345851,16269793
180,3345852,16269793
180,3345853,16269793
180,3345854,16269793
180,3345855,16269793
192,36107065,25059863
192,36107087,25059863
192,36107091,25059863
192,36107105,25059863
192,36107119,11092733
192,36107131,25059863
192,36107145,25059863
192,36107146,25059863
192,36107151,1472710
192,36107151,2664449
192,36107152,2664449
192,36107152,8210676
192,36107153,2664449
192,36107159,25059863
192,36107171,25059863
192,36107192,25059863
192,36107210,25059863
192,36107219,25059863
192,36107226,25059863
192,36107236,25059863
192,36107245,25059863
192,36107251,9791120
192,36107252,9791120
192,36107253,9791120
192,36107267,25059863
192,36107273,25059863
192,36107277,25059863
192,36107299,25059863
192,36107300,25059863
192,36107307,25059863
192,36107308,25059863
192,36107331,25059863
192,36107333,25059863
192,36107343,25059863
192,36107350,25059863
192,36107358,25059863
192,36107365,25059863
192,36107382,11092742
192,36107398,25059863
192,36107437,25059863
192,36107469,25059863
192,36107470,25059863
192,36107521,25059863
192,36107537,25059863
192,36107594,25059863
192,36107596,25059863
192,36107598,25059863
192,36107602,25059863
192,36107727,25059863
192,36107753,25059863
192,36107766,25059863
192,36107784,25059863
192,36107791,25059863
192,36107794,25059863
192,36107830,25059863
192,36107846,25059863
192,36107851,25059863
192,36107867,25059863
192,36107875,25059863
192,36107878,25059863
192,36107907,25059863
192,36107909,25059863
192,36107930,25059863
192,36107939,25059863
192,36107940,25059863
192,36107941,25059863
192,36107942,25059863
192,36107948,25059863
192,36107973,15386115
192,36107976,15386115
192,36107977,25059863
192,36107982,25059863
192,36107985,25059863
192,36107986,25059863
192,36107996,2608030
192,36107998,1577701
192,36107999,19477184
192,36108006,25059863
192,36108012,25059863
192,36108017,10518727
192,36108018,10518727
192,36108019,10518727
192,36108024,25059863
192,36108043,25059863
192,36108045,25059863
192,36108048,25059863
192,36108084,25059863
192,36108088,25059863
192,36108089,25059863
192,36108090,25059863
192,36108105,25059863
192,36108127,25059863
192,36108138,25059863
192,36108144,25059863
192,36108160,25059863
192,36108168,25059863
192,36108172,25059863
192,36108205,25059863
192,36108221,25059863
192,36108224,25059863
192,36108225,25059863
192,36108226,25059863
192,36108227,25059863
192,36108228,25059863
192,36108259,25059863
192,36108273,25059863
192,36108274,1702507
192,36108288,25059863
192,36108292,25059863
192,36108294,25059863
192,36108295,25059863
192,36108297,25059863
192,36108299,25059863
192,36108305,25059863
192,36108330,25059863
192,36108334,25059863
192,36108345,1896020
192,36108353,25059863
192,36108378,25059863
192,36108385,25059863
192,36108406,25059863
192,36108407,25059863
192,36108442,25059863
192,36108447,25059863
192,36108449,25059863
192,36108477,25059863
192,36108512,25059863
192,36108515,25059863
192,36108532,25059863
192,36108534,25059863
192,36108540,25059863
192,36108544,25059863
192,36108558,25059863
192,36108571,25059863
192,36108589,25059863
192,36108630,25059863
192,36108672,9487693
192,36108681,26708984
192,36108682,26708984
192,36108692,25059863
192,36108713,25059863
192,36108714,25059863
192,36108715,25059863
192,36108719,25059863
192,36108724,25059863
192,36108728,25059863
192,36108731,25059863
192,36108748,25059863
192,36108772,25059863
192,36108791,25059863
192,36108830,25059863
192,36108831,25059863
192,36108836,25059863
192,36108887,25059863
192,36108920,25059863
192,36108926,25059863
192,36108943,25059863
192,36108972,25059863
192,36108979,25059863
192,36108992,25059863
192,36109015,25059863
192,36109019,25059863
192,36109047,25059863
192,36109048,25059863
192,36109055,25059863
192,36109058,25059863
192,36109072,25059863
192,36109077,25059863
192,36109078,25059863
192,36109079,25059863
192,36109087,25059863
192,36109093,25059863
192,36109094,25059863
192,36109100,25059863
192,36109104,25059863
192,36109114,25059863
192,36109125,25059863
192,36109126,25059863
192,36109127,25059863
192,36109128,25059863
192,36109131,25059863
192,36109133,25059863
192,36109134,25059863
192,36109135,25059863
192,36109136,25059863
192,36109139,25059863
192,36109140,25059863
192,36109141,25059863
192,36109142,25059863
192,36109143,25059863
192,36109145,25059863
192,36109146,25059863
192,36109147,25059863
192,36109149,25059863
192,36109150,25059863
192,36109155,25059863
192,36109156,25059863
192,36109157,25059863
192,36109159,25059863
192,36109161,25059863
192,36109184,25059863
192,36109223,25059863
192,36109239,25059863
192,36109307,25059863
192,36109328,25059863
192,36109349,25059863
192,36109352,25059863
192,36109361,25059863
192,36109366,25059863
192,36109367,25059863
192,36109378,17952626
192,36109399,25059863
192,36109411,25059863
192,36109418,25059863
192,36109419,25059863
192,36109421,25059863
192,36109423,25059863
192,36109426,25059863
192,36109439,25059863
192,36109443,25059863
192,36109444,25059863
192,36109489,25059863
192,36109503,25059863
192,36109504,25059863
192,36109515,25059863
192,36109518,25059863
192,36109532,25059863
192,36109537,25059863
192,36109555,25059863
192,36109576,25059863
192,36109578,25059863
192,36109580,25059863
192,36109587,25059863
192,36109595,25059863
192,36109603,25059863
192,36109613,25059863
192,36109615,25059863
192,36109634,25059863
192,36109636,25059863
192,36109658,25059863
192,36109695,25059863
192,36109696,25059863
192,36109706,25059863
192,36109729,25059863
192,36109812,8763942
192,36109812,9720864
192,36109813,24846646
192,36109828,25059863
192,36109830,25059863
192,36109831,25059863
192,36109851,25059863
192,36109865,25059863
192,36109868,25059863
192,36109892,25059863
192,36109897,25059863
192,36109924,25059863
192,36109945,25059863
192,36110026,25059863
192,36110183,25059863
192,36110236,25059863
192,36110249,25059863
192,36110251,25059863
192,36110252,25059863
192,36110261,25059863
192,36110275,25059863
192,36110278,25059863
192,36110302,25059863
192,36110390,25059863
192,36110479,25059863
192,36110488,25059863
192,36110530,25059863
192,36110531,25059863
192,36110535,25059863
192,36110591,25059863
192,36110610,25059863
192,36110617,7553451
192,36110618,7553451
192,36110619,7553451
192,36110628,25059863
192,36110636,25059863
192,36110669,25059863
192,36110688,25059863
192,36110709,25059863
192,36110752,25059863
192,36110801,25059863
192,36110851,25059863
192,36110864,25059863
192,36110874,25059863
192,36110883,25059863
192,36110895,30688544
192,36110912,25059863
192,36110987,25059863
192,36110992,25059863
192,36110995,12039753
192,36110996,12039753
192,36110997,12039753
192,36111006,25059863
192,36111011,17572072
192,36111015,25059863
192,36111022,11934495
192,36111023,11934495
192,36111047,25059863
192,36111081,25059863
192,36111082,25059863
192,36111109,25059863
192,36111171,25059863
192,36111193,25059863
192,36111245,25059863
192,36111298,25059863
192,36111301,25059863
192,36111325,25059863
192,36111327,8640606
192,36111338,2198943
192,36111338,8001567
192,36111338,8428988
192,36111341,10357231
192,36111341,10651638
192,36111382,25059863
192,36111410,25059863
192,36111421,25059863
192,36111439,25059863
192,36111472,25059863
192,36111473,25059863
192,36111486,25059863
192,36111542,25059863
